type,index,image_path,true_label,pred_label,failure_reason
FN,902,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_3037.jpg,khong_khau_trang,co_khau_trang,
FN,914,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_3120.jpg,khong_khau_trang,co_khau_trang,
FN,935,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_3273.jpg,khong_khau_trang,co_khau_trang,
FN,943,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_3342.jpg,khong_khau_trang,co_khau_trang,
FN,1000,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_3704.jpg,khong_khau_trang,co_khau_trang,
FN,1009,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_3757.jpg,khong_khau_trang,co_khau_trang,
FN,1013,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_3810.jpg,khong_khau_trang,co_khau_trang,
FN,1020,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_397.jpg,khong_khau_trang,co_khau_trang,
FN,1053,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_531.jpg,khong_khau_trang,co_khau_trang,
FN,1056,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\khong_khau_trang\without_mask_536.jpg,khong_khau_trang,co_khau_trang,
FP,14,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_109.jpg,co_khau_trang,khong_khau_trang,
FP,22,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_1140.jpg,co_khau_trang,khong_khau_trang,
FP,42,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_1222.jpg,co_khau_trang,khong_khau_trang,
FP,59,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_1294.jpg,co_khau_trang,khong_khau_trang,
FP,228,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_2239.jpg,co_khau_trang,khong_khau_trang,
FP,230,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_2249.jpg,co_khau_trang,khong_khau_trang,
FP,235,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_2288.jpg,co_khau_trang,khong_khau_trang,
FP,248,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_2363.jpg,co_khau_trang,khong_khau_trang,
FP,278,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_2559.jpg,co_khau_trang,khong_khau_trang,
FP,281,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_2578.jpg,co_khau_trang,khong_khau_trang,
FP,288,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_2652.jpg,co_khau_trang,khong_khau_trang,
FP,348,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3031.jpg,co_khau_trang,khong_khau_trang,
FP,354,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3047.jpg,co_khau_trang,khong_khau_trang,
FP,380,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3197.jpg,co_khau_trang,khong_khau_trang,
FP,396,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3324.jpg,co_khau_trang,khong_khau_trang,
FP,405,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3361.jpg,co_khau_trang,khong_khau_trang,
FP,407,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3378.jpg,co_khau_trang,khong_khau_trang,
FP,408,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3380.jpg,co_khau_trang,khong_khau_trang,
FP,429,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3493.jpg,co_khau_trang,khong_khau_trang,
FP,436,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3532.jpg,co_khau_trang,khong_khau_trang,
FP,439,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3546.jpg,co_khau_trang,khong_khau_trang,
FP,463,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_3697.jpg,co_khau_trang,khong_khau_trang,
FP,474,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_408.jpg,co_khau_trang,khong_khau_trang,
FP,504,F:\NCKH_2026\lapTrinhPy\CNN_v2\Giai_doan_5\Dataset\test\co_khau_trang\with_mask_624.jpg,co_khau_trang,khong_khau_trang,
